country,crop,year,month,price,temperature
Peru,Potatoes,2006,1,1.05,20.1541
Peru,Potatoes,2006,2,1.17,20.0151
Peru,Potatoes,2006,3,1.21,20.4858
Peru,Potatoes,2006,4,1.21,19.7383
Peru,Potatoes,2006,5,1.12,18.8578
Peru,Potatoes,2006,6,1.05,18.8404
Peru,Potatoes,2006,7,1.02,18.8449
Peru,Potatoes,2006,8,1.02,18.9065
Peru,Potatoes,2006,9,1.08,19.7259
Peru,Potatoes,2006,10,1.08,19.9284
Peru,Potatoes,2006,11,1.03,20.2192
Peru,Potatoes,2006,12,1.03,20.127
Peru,Potatoes,2007,1,1.04,20.7907
Peru,Potatoes,2007,2,1.04,20.436
Peru,Potatoes,2007,3,1.05,19.9066
Peru,Potatoes,2007,4,1.05,19.9124
Peru,Potatoes,2007,5,1.05,18.642
Peru,Potatoes,2007,6,1.05,18.0462
Peru,Potatoes,2007,7,1.08,17.8863
Peru,Potatoes,2007,8,1.06,18.3386
Peru,Potatoes,2007,9,1.02,18.885
Peru,Potatoes,2007,10,0.96,19.1255
Peru,Potatoes,2007,11,0.95,19.6678
Peru,Potatoes,2007,12,0.94,19.4978
Peru,Potatoes,2008,1,0.98,19.8403
Peru,Potatoes,2008,2,1.03,19.9431
Peru,Potatoes,2008,3,1.04,19.9045
Peru,Potatoes,2008,4,0.99,19.5512
Peru,Potatoes,2008,5,0.99,18.5339
Peru,Potatoes,2008,6,0.99,18.0356
Peru,Potatoes,2008,7,1.02,18.5859
Peru,Potatoes,2008,8,1.13,19.4349
Peru,Potatoes,2008,9,1.15,19.3594
Peru,Potatoes,2008,10,1.27,19.7834
Peru,Potatoes,2008,11,1.44,20.1867
Peru,Potatoes,2008,12,1.5,20.0681
Peru,Potatoes,2009,1,1.51,19.9302
Peru,Potatoes,2009,2,1.58,20.1415
Peru,Potatoes,2009,3,1.5,20.0008
Peru,Potatoes,2009,4,1.49,20.3946
Peru,Potatoes,2009,5,1.47,19.4832
Peru,Potatoes,2009,6,1.35,18.6041
Peru,Potatoes,2009,7,1.27,18.9026
Peru,Potatoes,2009,8,1.22,19.3305
Peru,Potatoes,2009,9,1.18,19.8202
Peru,Potatoes,2009,10,1.18,20.3059
Peru,Potatoes,2009,11,1.17,20.8549
Peru,Potatoes,2009,12,1.11,20.5071
Peru,Potatoes,2010,1,1.12,21.0601
Peru,Potatoes,2010,2,1.14,21.1227
Peru,Potatoes,2010,3,1.15,20.9211
Peru,Potatoes,2010,4,1.16,20.7304
Peru,Potatoes,2010,5,1.16,19.7447
Peru,Potatoes,2010,6,1.16,18.9018
Peru,Potatoes,2010,7,1.2,17.9435
Peru,Potatoes,2010,8,1.3,18.8718
Peru,Potatoes,2010,9,1.56,19.6061
Peru,Potatoes,2010,10,1.6,19.8603
Peru,Potatoes,2010,11,1.49,20.000999999999998
Peru,Potatoes,2010,12,1.46,19.776
Peru,Potatoes,2011,1,1.39,20.2033
Peru,Potatoes,2011,2,1.28,19.7269
Peru,Potatoes,2011,3,1.26,19.5772
Peru,Potatoes,2011,4,1.21,19.7292
Peru,Potatoes,2011,5,1.22,19.430999999999997
Peru,Potatoes,2011,6,1.22,19.2236
Peru,Potatoes,2011,7,1.23,18.5996
Peru,Potatoes,2011,8,1.2,19.055999999999997
Peru,Potatoes,2011,9,1.22,19.2992
Peru,Potatoes,2011,10,1.29,19.5579
Peru,Potatoes,2011,11,1.34,20.2858
Peru,Potatoes,2011,12,1.34,19.6592
Peru,Potatoes,2012,1,1.38,19.86
Peru,Potatoes,2012,2,1.34,19.7309
Peru,Potatoes,2012,3,1.41,19.865
Peru,Potatoes,2012,4,1.42,20.0402
Peru,Potatoes,2012,5,1.42,19.7335
Peru,Potatoes,2012,6,1.37,18.9963
Peru,Potatoes,2012,7,1.33,18.9409
Peru,Potatoes,2012,8,1.32,19.1415
Peru,Potatoes,2012,9,1.29,19.7054
Peru,Potatoes,2012,10,1.37,20.1062
Peru,Potatoes,2012,11,1.4,20.5565
Peru,Potatoes,2012,12,1.4,19.9457
Peru,Potatoes,2013,1,1.47,20.293
Peru,Potatoes,2013,2,1.44,20.1837
Peru,Potatoes,2013,4,1.37,19.7084
Peru,Potatoes,2013,5,1.4,19.4168
Peru,Potatoes,2013,6,1.4,18.517
Peru,Potatoes,2013,7,1.78,17.8101
Peru,Potatoes,2013,8,1.89,18.2066
Peru,Potatoes,2013,9,1.96,19.5468
Peru,Potatoes,2013,10,1.83,19.6918
Peru,Potatoes,2013,11,1.63,19.9322
Peru,Potatoes,2013,12,1.44,20.2307
Peru,Potatoes,2014,1,1.36,20.2443
Peru,Potatoes,2014,2,1.32,20.0607
Peru,Potatoes,2014,3,1.34,19.914
Peru,Potatoes,2014,4,1.38,19.7868
Peru,Potatoes,2014,5,1.44,19.9366
Peru,Potatoes,2014,6,1.48,19.4495
Peru,Potatoes,2014,7,1.46,18.4419
