temperature,year,month,country
20.1541,2006,1,Peru
20.0151,2006,2,Peru
20.4858,2006,3,Peru
19.7383,2006,4,Peru
18.8578,2006,5,Peru
18.8404,2006,6,Peru
18.8449,2006,7,Peru
18.9065,2006,8,Peru
19.7259,2006,9,Peru
19.9284,2006,10,Peru
20.2192,2006,11,Peru
20.127,2006,12,Peru
20.7907,2007,1,Peru
20.436,2007,2,Peru
19.9066,2007,3,Peru
19.9124,2007,4,Peru
18.642,2007,5,Peru
18.0462,2007,6,Peru
17.8863,2007,7,Peru
18.3386,2007,8,Peru
18.885,2007,9,Peru
19.1255,2007,10,Peru
19.6678,2007,11,Peru
19.4978,2007,12,Peru
19.8403,2008,1,Peru
19.9431,2008,2,Peru
19.9045,2008,3,Peru
19.5512,2008,4,Peru
18.5339,2008,5,Peru
18.0356,2008,6,Peru
18.5859,2008,7,Peru
19.4349,2008,8,Peru
19.3594,2008,9,Peru
19.7834,2008,10,Peru
20.1867,2008,11,Peru
20.0681,2008,12,Peru
19.9302,2009,1,Peru
20.1415,2009,2,Peru
20.0008,2009,3,Peru
20.3946,2009,4,Peru
19.4832,2009,5,Peru
18.6041,2009,6,Peru
18.9026,2009,7,Peru
19.3305,2009,8,Peru
19.8202,2009,9,Peru
20.3059,2009,10,Peru
20.8549,2009,11,Peru
20.5071,2009,12,Peru
21.0601,2010,1,Peru
21.1227,2010,2,Peru
20.9211,2010,3,Peru
20.7304,2010,4,Peru
19.7447,2010,5,Peru
18.9018,2010,6,Peru
17.9435,2010,7,Peru
18.8718,2010,8,Peru
19.6061,2010,9,Peru
19.8603,2010,10,Peru
20.001,2010,11,Peru
19.776,2010,12,Peru
20.2033,2011,1,Peru
19.7269,2011,2,Peru
19.5772,2011,3,Peru
19.7292,2011,4,Peru
19.431,2011,5,Peru
19.2236,2011,6,Peru
18.5996,2011,7,Peru
19.056,2011,8,Peru
19.2992,2011,9,Peru
19.5579,2011,10,Peru
20.2858,2011,11,Peru
19.6592,2011,12,Peru
19.86,2012,1,Peru
19.7309,2012,2,Peru
19.865,2012,3,Peru
20.0402,2012,4,Peru
19.7335,2012,5,Peru
18.9963,2012,6,Peru
18.9409,2012,7,Peru
19.1415,2012,8,Peru
19.7054,2012,9,Peru
20.1062,2012,10,Peru
20.5565,2012,11,Peru
19.9457,2012,12,Peru
20.293,2013,1,Peru
20.1837,2013,2,Peru
20.1574,2013,3,Peru
19.7084,2013,4,Peru
19.4168,2013,5,Peru
18.517,2013,6,Peru
17.8101,2013,7,Peru
18.2066,2013,8,Peru
19.5468,2013,9,Peru
19.6918,2013,10,Peru
19.9322,2013,11,Peru
20.2307,2013,12,Peru
20.2443,2014,1,Peru
20.0607,2014,2,Peru
19.914,2014,3,Peru
19.7868,2014,4,Peru
19.9366,2014,5,Peru
19.4495,2014,6,Peru
18.4419,2014,7,Peru
18.77,2014,8,Peru
19.6347,2014,9,Peru
19.9489,2014,10,Peru
20.3996,2014,11,Peru
20.1064,2014,12,Peru
19.8736,2015,1,Peru
20.5103,2015,2,Peru
20.2532,2015,3,Peru
20.0185,2015,4,Peru
20.0984,2015,5,Peru
19.7564,2015,6,Peru
19.0715,2015,7,Peru
20.1966,2015,8,Peru
20.8076,2015,9,Peru
20.8017,2015,10,Peru
21.0716,2015,11,Peru
20.7846,2015,12,Peru
