country,crop,year,month,price,temperature,rainfall
Peru,Potatoes,2006,1,1.05,20.1541,232.747
Peru,Potatoes,2006,2,1.17,20.0151,198.38
Peru,Potatoes,2006,3,1.21,20.4858,209.435
Peru,Potatoes,2006,4,1.21,19.7383,160.209
Peru,Potatoes,2006,5,1.12,18.8578,133.984
Peru,Potatoes,2006,6,1.05,18.8404,125.193
Peru,Potatoes,2006,7,1.02,18.8449,55.9922
Peru,Potatoes,2006,8,1.02,18.9065,84.1931
Peru,Potatoes,2006,9,1.08,19.7259,60.531000000000006
Peru,Potatoes,2006,10,1.08,19.9284,127.315
Peru,Potatoes,2006,11,1.03,20.2192,186.803
Peru,Potatoes,2006,12,1.03,20.127,189.826
Peru,Potatoes,2007,1,1.04,20.7907,170.372
Peru,Potatoes,2007,2,1.04,20.436,143.09799999999998
Peru,Potatoes,2007,3,1.05,19.9066,228.503
Peru,Potatoes,2007,4,1.05,19.9124,153.251
Peru,Potatoes,2007,5,1.05,18.642,163.12
Peru,Potatoes,2007,6,1.05,18.0462,58.0746
Peru,Potatoes,2007,7,1.08,17.8863,73.7088
Peru,Potatoes,2007,8,1.06,18.3386,63.343
Peru,Potatoes,2007,9,1.02,18.885,84.3281
Peru,Potatoes,2007,10,0.96,19.1255,138.679
Peru,Potatoes,2007,11,0.95,19.6678,204.62
Peru,Potatoes,2007,12,0.94,19.4978,167.067
Peru,Potatoes,2008,1,0.98,19.8403,256.593
Peru,Potatoes,2008,2,1.03,19.9431,241.108
Peru,Potatoes,2008,3,1.04,19.9045,211.87099999999998
Peru,Potatoes,2008,4,0.99,19.5512,140.22799999999998
Peru,Potatoes,2008,5,0.99,18.5339,98.5092
Peru,Potatoes,2008,6,0.99,18.0356,83.96
Peru,Potatoes,2008,7,1.02,18.5859,71.41
Peru,Potatoes,2008,8,1.13,19.4349,69.7856
Peru,Potatoes,2008,9,1.15,19.3594,101.419
Peru,Potatoes,2008,10,1.27,19.7834,152.755
Peru,Potatoes,2008,11,1.44,20.1867,137.17700000000002
Peru,Potatoes,2008,12,1.5,20.0681,116.84299999999999
Peru,Potatoes,2009,1,1.51,19.9302,221.85
Peru,Potatoes,2009,2,1.58,20.1415,209.456
Peru,Potatoes,2009,3,1.5,20.0008,203.28400000000002
Peru,Potatoes,2009,4,1.49,20.3946,144.001
Peru,Potatoes,2009,5,1.47,19.4832,83.5915
Peru,Potatoes,2009,6,1.35,18.6041,83.2588
Peru,Potatoes,2009,7,1.27,18.9026,66.6214
Peru,Potatoes,2009,8,1.22,19.3305,59.4567
Peru,Potatoes,2009,9,1.18,19.8202,66.4651
Peru,Potatoes,2009,10,1.18,20.3059,92.73200000000001
Peru,Potatoes,2009,11,1.17,20.8549,129.194
Peru,Potatoes,2009,12,1.11,20.5071,247.84400000000002
Peru,Potatoes,2010,1,1.12,21.0601,151.82
Peru,Potatoes,2010,2,1.14,21.1227,187.85
Peru,Potatoes,2010,3,1.15,20.9211,158.718
Peru,Potatoes,2010,4,1.16,20.7304,122.295
Peru,Potatoes,2010,5,1.16,19.7447,106.545
Peru,Potatoes,2010,6,1.16,18.9018,61.3388
Peru,Potatoes,2010,7,1.2,17.9435,77.3959
Peru,Potatoes,2010,8,1.3,18.8718,40.2867
Peru,Potatoes,2010,9,1.56,19.6061,48.7719
Peru,Potatoes,2010,10,1.6,19.8603,102.95
Peru,Potatoes,2010,11,1.49,20.000999999999998,133.42600000000002
