adm0_name,adm1_name,mkt_name,cm_name,cur_name,pt_name,um_name,mp_month,mp_year,mp_price,mp_commoditysource
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,4,2015,0.72,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,5,2015,0.73,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,6,2015,0.76,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,7,2015,0.76,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,8,2015,0.74,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,9,2015,0.73,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,10,2015,0.73,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,11,2015,0.71,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,12,2015,0.71,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,1,2016,0.7,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,2,2016,0.7,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,3,2016,0.71,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,4,2016,0.71,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,5,2016,0.72,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,6,2016,0.73,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,7,2016,0.72,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,8,2016,0.72,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,9,2016,0.72,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,10,2016,0.71,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,12,2016,0.69,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,1,2017,0.68,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,2,2017,0.66,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,3,2017,0.68,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,4,2017,0.69,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,5,2017,0.71,INE
Bolivia,Chuquisaca,Sucre,Eggs,BOB,Retail,Unit,6,2017,0.72,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,4,2015,6.31,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,5,2015,6.27,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,6,2015,6.27,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,7,2015,6.27,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,8,2015,6.23,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,9,2015,6.23,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,10,2015,6.19,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,11,2015,6.27,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,12,2015,6.27,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,1,2016,6.23,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,2,2016,6.15,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,3,2016,6.15,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,4,2016,6.15,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,5,2016,6.15,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,6,2016,6.08,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,7,2016,6.0,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,8,2016,6.0,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,9,2016,6.15,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,10,2016,6.23,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,12,2016,6.37,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,1,2017,6.37,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,2,2017,6.37,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,3,2017,6.22,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,4,2017,6.14,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,5,2017,6.18,INE
Bolivia,Chuquisaca,Sucre,Sugar,BOB,Retail,KG,6,2017,6.48,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,1,2010,24.81,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,2,2010,24.88,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,3,2010,24.81,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,4,2010,24.58,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,5,2010,24.12,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,6,2010,24.04,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,7,2010,24.5,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,8,2010,24.73,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,9,2010,24.81,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,10,2010,25.88,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,11,2010,26.35,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,12,2010,27.04,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,1,2011,28.77,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,2,2011,28.46,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,3,2011,28.54,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,4,2011,27.92,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,6,2011,27.69,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,7,2011,27.69,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,8,2011,27.85,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,9,2011,26.62,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,10,2011,26.85,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,11,2011,26.85,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,12,2011,26.85,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,1,2012,26.92,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,2,2012,27.46,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,3,2012,27.54,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,4,2012,27.15,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,5,2012,27.23,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,6,2012,27.23,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,7,2012,27.08,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,8,2012,27.0,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,9,2012,27.08,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,10,2012,27.08,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,11,2012,27.15,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,12,2012,27.15,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,6,2013,26.85,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,7,2013,26.69,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,8,2013,26.69,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,9,2013,26.92,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,10,2013,27.15,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,11,2013,27.38,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,1,2014,27.46,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,2,2014,27.85,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,3,2014,27.85,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,4,2014,27.38,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,5,2014,27.69,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,9,2014,29.08,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,10,2014,29.08,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,11,2014,29.15,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,12,2014,29.23,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,1,2015,29.77,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,2,2015,29.54,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,3,2015,29.0,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,4,2015,28.92,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,5,2015,29.0,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,6,2015,29.77,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,7,2015,29.15,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,8,2015,29.15,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,9,2015,29.15,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,10,2015,29.08,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,11,2015,29.08,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,12,2015,29.31,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,1,2016,29.23,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,2,2016,29.77,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,3,2016,29.12,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,4,2016,29.12,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,5,2016,29.19,INE
Bolivia,Chuquisaca,Sucre,"Meat (beef, chops with bones)",BOB,Retail,KG,6,2016,29.04,INE
